state,filling_status,income_limit,rate,tax_previous_bracket
VT,married_filing_jointly,73800,0.068,2619.9
VT,married_filing_jointly,0,0.0355,0.0
VT,single_filers,405100,0.0895,31692.55
VT,single_filers,186350,0.088,12442.55
VT,single_filers,89350,0.078,4876.55
VT,single_filers,36900,0.068,1309.95
VT,single_filers,0,0.0355,0.0
WA,married_filing_jointly,0,0.0,0.0
WA,single_filers,0,0.0,0.0
WI,married_filing_jointly,320250,0.0765,19687.06
WI,married_filing_jointly,29090,0.0627,1431.32
WI,married_filing_jointly,14540,0.0584,581.6
WI,married_filing_jointly,0,0.04,0.0
WI,single_filers,240190,0.0765,14765.35
WI,single_filers,21820,0.0627,1073.55
WI,single_filers,10910,0.0584,436.4
WI,single_filers,0,0.04,0.0
WV,married_filing_jointly,60000,0.065,2865.0
WV,married_filing_jointly,40000,0.06,1665.0
WV,married_filing_jointly,25000,0.045,990.0
WV,married_filing_jointly,1000,0.04,30.0
WV,married_filing_jointly,0,0.03,0.0
WV,single_filers,40000,0.06,1665.0
WV,single_filers,25000,0.045,990.0
WV,single_filers,1000,0.04,30.0
WV,single_filers,0,0.03,0.0
WY,married_filing_jointly,0,0.0,0.0
WY,single_filers,0,0.0,0.0
